Estimated Overall Performance
-------------------------------
Samples/s:                                     5887.1
Compute Samples/s:                             5887.1
Transmission Samples/s:                        5897.5
Active PEs:                                    37%
Compute Utilization:                           72%
+-------------------------------------------------------------------------------------------+-------------+-------------------+------------------------+------------+---------------------+
| Kernel Name                                                                               | Samples/s   | Compute Samples/s | Transmission Samples/s | Active PEs | Compute Utilization |
| layer_norm32                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm16.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm19.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm11                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm9.compute_core.lnorm.oned_lnorm_d                                               |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm7.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm27                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm5                                                                               |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm6                                                                               |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm15.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm13.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm4.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm17.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm11.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm8                                                                               |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm19.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm13.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm7.compute_core                                                                  |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm16                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm21                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm21.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm32.compute_core.lnorm.oned_lnorm_d                                              |      6026.0 |            6026.0 |                     -- |          8 |                 98% |
| layer_norm21.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm29.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm1.compute_core                                                                  |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm4.compute_core                                                                  |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm20.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm20                                                                              |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
| layer_norm18.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm3.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm19.compute_core                                                                 |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm15.compute_core.lnorm                                                           |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm1.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm8.compute_core.lnorm                                                            |      6026.0 |            6026.0 |               103759.8 |         24 |                 80% |
| layer_norm5.compute_core                                                                  |      6026.0 |            6026.0 |               103759.8 |         32 |                 71% |
| layer_norm9                                                                               |      6026.0 |            6026.0 |                22587.2 |         48 |                 61% |
